SMILES,SMILES_1_atom,SMILES_2_atom,SMILES_3_atom,SMILES_1,SMILES_2,SMILES_3,tg
C=Cc1ccccc1,"[2, 3, 4, 5, 6, 7]","[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",[cH]1:[cH]:[c]:[cH]:[cH]:[cH]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[cH]:[cH]:[cH]:[cH]:1,373
C=Cc1ccc(cc1)F,"[2, 3, 4, 5, 6, 7]","[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,376
C=Cc1cc(F)ccc1F,"[2, 3, 4, 6, 7, 8]","[0, 1]","[0, 1, 2, 3, 4, 6, 7, 8]",[c]1:[cH]:[c]:[c]:[cH]:[cH]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[c]:[cH]:[cH]:[c]:1,374
OC(=O)C=C,"[3, 4]","[0, 1, 2, 3]","[1, 2]",[CH]=[CH2],[CH]-[C](=[O])-[OH],[C]=[O],374
FC(F)C(F)(F)COC(=O)C(=C),"[6, 7, 8]","[10, 11]","[7, 8, 9, 10]",[C]-[O]-[CH2],[CH]=[CH2],[CH]-[C](=[O])-[O],249
C=CC(=O)OC(C)(C)C,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[C],[CH2]=[CH],[CH]-[C](=[O])-[O],311
CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,"[25, 26, 27]","[29, 30]","[1, 2, 3, 4, 5]",[C]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],311
CCCCCCCCOC(=O)C=C,"[7, 8, 9]","[11, 12]","[1, 2, 3, 4, 5]",[C]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],208
CCCCC(COC(=O)C=C)CC,"[5, 6, 7]","[9, 10]","[1, 2, 3]",[C]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2],221
C=CC(=O)OC1CCCCC1,"[2, 4, 5]","[0, 1]","[1, 2, 3, 4]",[C]-[O]-[CH],[CH2]=[CH],[CH]-[C](=[O])-[O],289
C=CC(=O)OCC#N,"[6, 7]","[2, 4, 5]","[5, 6, 7]",[C]#[N],[C]-[O]-[CH2],[CH2]-[C]#[N],296
C=CC(=O)NC(C)(C)C,"[0, 1]","[1, 2, 3, 4]","[5, 6]",[CH2]=[CH],[CH]-[C](-[NH])=[O],[C]-[CH3],401
CCCCCCCCNC(=O)C=C,"[11, 12]","[1, 2, 3, 4, 5]","[1, 2, 3]",[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],220
C=CC(=O)NC(C)C,"[0, 1]","[1, 2, 3, 4]","[5, 6]",[CH2]=[CH],[CH]-[C](-[NH])=[O],[CH]-[CH3],403
OC(=N)C=C,"[3, 4]","[0, 1, 2, 3]","[0, 1, 2, 3, 4]",[CH]=[CH2],[CH]-[C](=[NH])-[OH],[CH2]=[CH]-[C](=[NH])-[OH],438
C=CC#N,"[2, 3]","[1, 2, 3]","[0, 1]",[C]#[N],[CH]-[C]#[N],[CH2]=[CH],383
CC(=C)C#N,"[3, 4]","[1, 3, 4]","[1, 2]",[C]#[N],[C]-[C]#[N],[C]=[CH2],388
CCCCOC(=O)C(=C)C#N,"[9, 10]","[3, 4, 5]","[7, 9, 10]",[C]#[N],[C]-[O]-[CH2],[C]-[C]#[N],374
CCCCCCCCOC(=O)C(=C)C#N,"[13, 14]","[7, 8, 9]","[11, 13, 14]",[C]#[N],[C]-[O]-[CH2],[C]-[C]#[N],322
CCCCCCOC(=O)C(=C)C#N,"[11, 12]","[5, 6, 7]","[9, 11, 12]",[C]#[N],[C]-[O]-[CH2],[C]-[C]#[N],359
FC(=C)F,"[1, 2]","[0, 1, 2, 3]","[0, 1]",[C]=[CH2],[CH2]=[C](-[F])-[F],[C]-[F],242
FC(=C(F)F)Cl,"[0, 1, 2, 5]","[1, 2, 3, 4]","[1, 5]",[C]=[C](-[F])-[Cl],[C]=[C](-[F])-[F],[C]-[Cl],360
OC(=O)c1ccc(cc1)C(=O)O.OCCCO,"[3, 4, 5, 6, 7, 8]","[13, 14, 15]","[1, 2]",[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]-[CH2]-[CH2],[C]=[O],327
OC(=O)CCC(=O)O.OCCCO,"[9, 10, 11]","[0, 1, 2, 3]","[1, 2]",[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],[C]=[O],232
OC(=O)CCCCC(=O)O.OCCCO,"[3, 4, 5]","[0, 1, 2, 3]","[1, 2]",[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],[C]=[O],215
OC(=O)C(O)C,"[0, 1, 2, 3]","[3, 5]","[1, 2]",[CH]-[C](=[O])-[OH],[CH]-[CH3],[C]=[O],332
O=C1CCCO1,"[0, 1, 2, 5]","[1, 4, 5]","[0, 1]",[CH2]-[C](=[O])-[O],[C]-[O]-[CH2],[C]=[O],221
CC1CC(=O)O1,"[2, 3, 4, 5]","[1, 3, 5]","[0, 1]",[CH2]-[C](=[O])-[O],[C]-[O]-[CH],[CH3]-[CH],276
